Title,Platform,Release Date,Release Region,Publisher,Developer,Franchise,Genre,VR,DLC,English,Owned,Condition,Date Purchased, Purchase Price ,Format,Completed,Date Completed,Completion Time,Rating,Metacritic Rating,GameFAQs User Rating,Notes,Priority,Wishlisted,Estimated Time,Playing Status,Release Year,Weighted Score,Composite Score,My Score
Aphelion: Episode One: Graves of Earth,Xbox 360,7/8/2010,NA,Lunatic Studios,Lunatic Studios,Aphelion,Turn-Based RPG,,,,1,,,,,1,,,70%,66%,80%,Xbox Live Indie Games,,,,,2010,72%,0.73,70%
Monkey Island 2: Special Edition,PC,7/7/2010,NA,LucasArts,LucasArts,Monkey Island,Adventure,,,,1,,9/3/2012,,Digital,1,,6.20,70%,88%,84%,Steam,,,,,2010,78%,0.858,70%
radiangames Crossfire,Xbox 360,7/7/2010,NA,radiangames,radiangames,radiangames,Scrolling Shooter,,,,1,,,,,1,,,80%,70%,55%,Xbox Live Indie Games,,,,,2010,71%,0.625,80%
Soul of Darkness,DSiWare,7/5/2010,NA,Gameloft,Gameloft,,Metroidvania,,,,1,,2/27/2022, $ 4.99 ,Digital,1,3/5/2022,1.48,50%,78%,72%,,,,,,2010,63%,0.752,50%
Nelson Tethers: Puzzle Agent,PC,6/30/2010,NA,Telltale Games,Telltale Games,Puzzle Agent,Adventure,,,,1,,12/25/2010, $ 0.99 ,Digital,1,,2.40,80%,73%,69%,Steam,,,,,2010,75%,0.709,80%
Singularity,PC,6/30/2010,NA,Activision,Raven Software,,First-Person Shooter,,,,1,,4/4/2015,,Digital,1,12/11/2018,7.78,70%,78%,72%,Steam,,,,,2010,73%,0.752,70%
Tester Phase One,Xbox 360,6/29/2010,NA,DK Alpha,DK Alpha,,Scrolling Shooter,,,,1,,,,,1,,,50%,,70%,Xbox Live Indie Games,,,,,2010,60%,70%,50%
Vampire Rage,Xbox 360,6/26/2010,NA,Tricktale,Tricktale,,Scrolling Shooter,,,,1,,,,,1,,,70%,90%,51%,Xbox Live Indie Games,,,,,2010,70%,0.707,70%
Risk: Factions,Xbox 360,6/23/2010,NA,Electronic Arts,Stainless Games,Risk,Board Game,,,,0,,,,,1,7/11/2010,,80%,78%,72%,,,,,,2010,78%,0.751,80%
Old School Racer,Xbox 360,6/19/2010,NA,Riddlersoft,Riddlersoft,Old School Racer,Sports,,,,1,,,,,1,,,80%,,61%,Xbox Live Indie Games,,,,,2010,71%,61%,80%
Duke Nukem 3D,Xbox 360,6/14/2010,NA,Microsoft Studios,3D Realms,Duke Nukem,First-Person Shooter,,,,0,,,,,1,6/24/2009,,80%,81%,81%,,,,,,2010,81%,0.811,80%
Jolly Rover,PC,6/7/2010,NA,Brawsome,Brawsome,,Adventure,,,,1,,12/25/2010, $ 0.99 ,Digital,1,,,70%,76%,67%,Steam,,,,,2010,71%,0.715,70%
Eversion,PC,6/7/2010,NA,Zaratustra Productions,Zaratustra Productions,,Side-Scrolling Platformer,,,,1,,12/4/2012,,Digital,1,,1.60,60%,79%,73%,Steam,,,,,2010,68%,0.76,60%
Jisei: The First Case,PC,6/6/2010,NA,SakeVisual,SakeVisual,Jisei,Visual Novel,,,,0,,,,,1,11/11/2013,,70%,,62%,Desura,,,,,2010,66%,62%,70%
Aah Little Atlantis,Xbox 360,6/4/2010,NA,Aah Games,Aah Games,Aah,Strategy,,,,1,,,,,1,,,50%,,60%,Xbox Live Indie Games,,,,,2010,55%,60%,50%
The Life of a Pacifist is Often Fraught With Conflict,PC,5/31/2010,NA,Bento Smile,Bento Smile,,Visual Novel,,,,0,,,,,1,,,60%,,50%,Freeware,,,,,2010,55%,50%,60%
Protect Me Knight,Xbox 360,5/24/2010,NA,Ancient,Ancient,Protect Me Knight,Tower Defense,,,,1,,,,,1,,,90%,,87%,Xbox Live Indie Games,,,,,2010,89%,87%,90%
Super Mario Galaxy 2,Nintendo Wii,5/23/2010,NA,Nintendo,Nintendo EAD,Mario,3D Platformer,,,,1,Complete,4/14/2019,,Physical,1,,,90%,97%,89%,,,,,,2010,92%,0.931,90%
Red Dead Redemption,Xbox 360,5/18/2010,NA,Rockstar Games,Rockstar San Diego,Red Dead,Third-Person Shooter,,,,0,,,,,1,12/4/2013,11.95,90%,94%,88%,,,,,,2010,90%,0.909,90%
Alan Wake,Xbox 360,5/18/2010,NA,Microsoft Studios,Remedy Entertainment,Alan Wake,Third-Person Shooter,,,,0,,,,,1,12/26/2010,,80%,84%,79%,,,,,,2010,81%,0.817,80%
radiangames JoyJoy,Xbox 360,5/16/2010,NA,radiangames,radiangames,radiangames,Twin-Stick Shooter,,,,1,,,,,1,,,90%,70%,75%,Xbox Live Indie Games,,,,,2010,81%,0.725,90%
Zombie Estate,Xbox 360,5/15/2010,NA,Jeremy Verchick,Jeremy Verchick,Zombie Estate,Twin-Stick Shooter,,,,1,,,,,1,,,80%,80%,84%,Xbox Live Indie Games,,,,,2010,81%,0.82,80%
Super Crate Box,PC,5/11/2010,NA,Vlambeer,Vlambeer,,Shooter,,,,0,,,,,1,,,70%,,69%,Freeware,,,,,2010,69%,69%,70%
Retrofit: Overload,Xbox 360,5/8/2010,NA,Wam Games,Wam Games,,Scrolling Shooter,,,,1,,,,,1,,,60%,,90%,Xbox Live Indie Games,,,,,2010,75%,90%,60%
Hero Core,PC,5/3/2010,NA,Daniel Remar,Daniel Remar,Hero,Metroidvania,,,,0,,,,,1,8/12/2013,1.30,80%,,82%,Freeware,,,,,2010,81%,82%,80%
Decay - Part 1,Xbox 360,5/1/2010,NA,Shining Gate Software,Shining Gate Software,Decay,Survival Horror,,,,1,,,,,1,,,70%,,69%,Xbox Live Indie Games,,,,,2010,70%,69%,70%
Breath of Death VII: The Beginning,Xbox 360,4/22/2010,NA,Zeboyd Games,Zeboyd Games,,Turn-Based RPG,,,,1,,,,,1,,,80%,84%,77%,Xbox Live Indie Games,,,,,2010,80%,0.804,80%
Beat Hazard,PC,4/15/2010,NA,Cold Beam Games,Cold Beam Games,Beat Hazard,Twin-Stick Shooter,,,,1,,11/27/2010, $ 0.99 ,Digital,1,,,80%,72%,74%,Steam,,,,,2010,76%,0.728,80%
Geometry Wars: Touch,iOS,4/1/2010,NA,Activision,Bizarre Creations,Geometry Wars,Twin-Stick Shooter,,,,1,,6/18/2012, $ 0.99 ,Digital,1,,,70%,78%,77%,,,,,,2010,74%,0.773,70%
Mirror's Edge,iOS,4/1/2010,NA,Electronic Arts,IronMonkey Studios,Mirror's Edge,Side-Scrolling Platformer,,,,1,,7/7/2012, $ 0.99 ,Digital,1,,,70%,88%,66%,,,,,,2010,74%,0.771,70%
Mega Man 10,Xbox 360,3/31/2010,NA,Capcom,Inti Creates,Mega Man,Action Platformer,,,,1,,,,Digital,1,7/9/2010,,80%,80%,83%,,,,,,2010,81%,0.815,80%
FlipSide,Xbox 360,3/25/2010,NA,BOKstuff,BOKstuff,,Puzzle,,,,1,,,,,1,,,50%,70%,,Xbox Live Indie Games,,,,,2010,60%,70%,50%
Shatter,PC,3/15/2010,NA,PikPok,Sidhe,,Action,,,,1,,9/13/2012, $ 2.87 ,Digital,1,,2.40,90%,85%,74%,Steam,,,,,2010,85%,0.796,90%
Pokémon HeartGold,Nintendo DS,3/14/2010,NA,Nintendo,Game Freak,Pokémon,Turn-Based RPG,,,,0,,,,,1,,,70%,88%,88%,,,,,,2010,79%,0.88,70%
Digital: A Love Story,PC,3/4/2010,NA,Christine Love,Christine Love,Love Stories,Visual Novel,,,,0,,,,,1,,,90%,,76%,Freeware,,,,,2010,83%,76%,90%
Soulcaster,Xbox 360,3/1/2010,NA,Magical Time Bean,Magical Time Bean,Soulcaster,Strategy RPG,,,,1,,,,,1,,,80%,,81%,Xbox Live Indie Games,,,,,2010,80%,81%,80%
Air Pressure,PC,3/1/2010,NA,Bento Smile,Bento Smile,,Visual Novel,,,,0,,,,,1,,,70%,,63%,Freeware,,,,,2010,66%,63%,70%
MotorHEAT,Xbox 360,2/26/2010,NA,Milkstone Studios,Milkstone Studios,,Racing,,,,1,,,,,1,,,70%,84%,86%,Xbox Live Indie Games,,,,,2010,78%,0.851,70%
Shoot 1UP,Xbox 360,2/25/2010,NA,Mommy's Best Games,Mommy's Best Games,,Scrolling Shooter,,,,1,,,,,1,,,80%,83%,73%,Xbox Live Indie Games,,,,,2010,79%,0.782,80%
The Misadventures of P.B. Winterbottom,Xbox 360,2/17/2010,NA,2K Play,The Odd Gentlemen,,Puzzle,,,,1,,,,Digital,1,3/30/2010,,70%,85%,77%,,,,,,2010,75%,0.808,70%
BioShock 2,PC,2/9/2010,NA,2K Games,2K Marin,BioShock,First-Person Shooter,,,,1,,10/3/2013,,Digital,1,7/7/2014,9.07,80%,88%,76%,Steam,,,,,2010,81%,0.821,80%
Doom II RPG,iOS,2/8/2010,NA,id Mobile,id Mobile,Doom,Turn-Based RPG,,,,1,,8/7/2012, $ 0.99 ,Digital,1,,,80%,79%,81%,,,,,,2010,80%,0.801,80%
Max & the Magic Marker,PC,2/8/2010,NA,The Games Company,Press Play,Max & the Magic Marker,Puzzle Platformer,,,,1,,,,Digital,1,,,70%,77%,74%,DRM Free,,,,,2010,73%,0.755,70%
Chime,Xbox 360,2/3/2010,NA,OneBigGame,Zoë Mode,Chime,Puzzle,,,,1,,,,,1,2/20/2010,,70%,80%,74%,,,,,,2010,73%,0.768,70%
Mass Effect 2,Xbox 360,1/26/2010,NA,Electronic Arts,BioWare,Mass Effect,Action RPG,,,,0,,,,,1,4/30/2010,,90%,96%,89%,,,,,,2010,91%,0.925,90%
Grand Theft Auto: Chinatown Wars,iOS,1/17/2010,NA,Rockstar Games,Rockstar Leeds,Grand Theft Auto,Action Adventure,,,,1,,10/29/2012, $ 0.99 ,Digital,1,,,70%,96%,73%,,,,,,2010,77%,0.846,70%
Decimation X,Xbox 360,1/16/2010,NA,Xona Games,Xona Games,Decimation X,Scrolling Shooter,,,,1,,,,,1,,,60%,,70%,Xbox Live Indie Games,,,,,2010,65%,70%,60%
Army of Two: The 40th Day,PlayStation 3,1/12/2010,NA,Electronic Arts,EA Montreal,Army of Two,Third-Person Shooter,,,,1,Complete,1/14/2019, $ 8.00 ,Physical,1,7/7/2019,4.60,50%,72%,72%,,,,,,2010,61%,0.72,50%
Darksiders,Xbox 360,1/5/2010,NA,THQ,Vigil Games,Darksiders,Hack-and-Slash,,,,0,,,,,1,2/8/2010,,80%,84%,78%,,,,,,2010,80%,0.809,80%
Ms. Pac-Man,Xbox 360,1/4/2010,NA,Bandai Namco Entertainment,Bandai Namco Entertainment,Pac-Man,Arcade,,,,1,,,,Digital,1,11/25/2009,,70%,64%,77%,,,,,,2010,70%,0.703,70%
Irisu Syndrome!,PC,1/1/2010,NA,Tetsu,Tetsu,,Puzzle,,,,0,,,,,1,11/15/2013,,50%,,63%,Freeware,,,,,2010,57%,63%,50%
Mamono Slayer,Browser,12/29/2009,NA,Skipmore,Skipmore,,Action Adventure,,,,0,,,,,0,,,,,,Link,3,,,,2009,60%,,0.6
Castlevania: The Adventure ReBirth,WiiWare,12/28/2009,NA,Konami,M2,Castlevania,Action Platformer,,,,0,,,,,0,,,,81%,77%,,3,,3.50,,2009,69%,0.788,0.6
Glow Artisan,DSiWare,12/28/2009,NA,Powerhead Games,Powerhead Games,,Puzzle,,,,0,,,,,0,,,,,78%,Delisted,2,,,,2009,59%,78%,0.4
Final Fantasy Crystal Chronicles: The Crystal Bearers,Nintendo Wii,12/26/2009,NA,Square Enix,Square Enix,Final Fantasy Crystal Chronicles,Turn-Based RPG,,,,0,,,,,0,,,,68%,71%,,3,,11.50,,2009,65%,0.693,0.6
Dariusburst,PlayStation Portable,12/24/2009,JP,Taito,Pyramid,Darius,Scrolling Shooter,,,0,0,,,,,0,,,,,80%,,3,,0.48,,2009,70%,80%,0.6
0 Day Attack on Earth,Xbox 360,12/23/2009,NA,Square Enix,Gulti,,Twin-Stick Shooter,,,,0,,,,,0,,,,41%,54%,,2,1,1.50,,2009,44%,0.477,0.4
Eco Shooter: Plant 530,WiiWare,12/21/2009,NA,Nintendo,Intelligent Systems,,Rail Shooter,,,,0,,,,,0,,,,56%,73%,,2,,,,2009,52%,0.647,0.4
Queen's Blade: Spiral Chaos,PlayStation Portable,12/17/2009,JP,Bandai Namco Games,Banpresto,Queen's Blade,Strategy RPG,,,0,0,,,,,0,,,,,77%,,2,,28.00,,2009,58%,77%,0.4
Saira,PC,12/12/2009,NA,Kreatoriet AB,Nicklas Nygren,,Side-Scrolling Platformer,,,,1,,12/6/2011,,Digital,0,,,,79%,72%,Steam,2,,4.50,,2009,58%,0.753,0.4
Luminous Arc 3,Nintendo DS,12/10/2009,JP,Marvelous,Imageepoch,Luminous Arc,Strategy RPG,,,2,0,,,,,0,,,,,85%,,3,,,,2009,73%,85%,0.6
R-Type Tactics II: Operation Bitter Chocolate,PlayStation Portable,12/10/2009,JP,Irem,Irem,R-Type,Strategy RPG,,,2,0,,,,,0,,,,,84%,,3,,,,2009,72%,84%,0.6
Silent Hill: Shattered Memories,Nintendo Wii,12/8/2009,NA,Konami,Climax Studios,Silent Hill,Survival Horror,,,,0,,,,,0,,,,79%,78%,,4,,7.00,,2009,79%,0.784,0.8
The Saboteur,PC,12/8/2009,NA,Electronic Arts,Pandemic Studios,,Action Adventure,,,,1,,6/3/2014, $ 5.99 ,Digital,0,,,,73%,75%,Origin,3,,11.00,,2009,67%,0.74,0.6
Yggdra Unison,Nintendo DS,12/3/2009,JP,Atlus,Sting,Dept. Heaven,Real-Time Strategy,,,0,0,,,,,0,,,,,77%,,2,,,,2009,59%,77%,0.4
Cross Treasures,Nintendo DS,12/3/2009,JP,Square Enix,syn Sophia,,Action RPG,,,1,0,,,,,0,,,,,79%,,2,,,,2009,60%,79%,0.4
Rogue Warrior,PC,12/1/2009,NA,Bethesda Softworks,Rebellion Developments,,First-Person Shooter,,,,1,,12/22/2016, $ 1.64 ,Digital,0,,,,27%,43%,Steam,3,,2.00,,2009,47%,0.348,0.6
Mushihimesama Futari,Arcade,11/27/2009,NA,AMI,Cave,Mushihimesama,Scrolling Shooter,,,,0,,,,,0,,,,,83%,,3,,0.63,,2009,71%,83%,0.6
Puyo Puyo 7,Nintendo Wii,11/26/2009,JP,Sega,Sonic Team,Puyo Puyo,Puzzle,,,2,0,,,,,0,,,,,81%,,3,,3.50,,2009,71%,81%,0.6
Sora o Kakeru Shoujo Shooting,DSiWare,11/25/2009,JP,ITL,ITL,,Scrolling Shooter,,,0,0,,,,,0,,,,,85%,Delisted,2,,,,2009,63%,85%,0.4
Fighting Fantasy: The Warlock of Firetop Mountain,Nintendo DS,11/25/2009,NA,Aspyr,Big Blue Bubble,Fighting Fantasy,Dungeon Crawler,,,,0,,,,,0,,,,45%,79%,,2,,8.00,,2009,51%,0.618,0.4
Zaku,Atari Lynx,11/24/2009,NA,Super Fighter Team,PengiNet,,Scrolling Shooter,,,,0,,,,,0,,,,,84%,,2,,,,2009,62%,84%,0.4
Serious Sam HD: The First Encounter,PC,11/24/2009,NA,Devolver Digital,Croteam,Serious Sam,First-Person Shooter,,,,1,,6/6/2013,,Digital,0,,,,70%,74%,Steam,3,,6.00,,2009,66%,0.721,0.6
Castle of Magic,DSiWare,11/23/2009,NA,Gameloft,Gameloft,,Side-Scrolling Platformer,,,,1,,3/6/2022, $ 4.99 ,Digital,0,,,,,69%,,2,,0.60,,2009,55%,69%,0.4
Harvest Moon: My Little Shop,WiiWare,11/23/2009,NA,Natsume,h.a.n.d.,Harvest Moon,Simulation,,,,0,,,,,0,,,,40%,64%,,2,,,,2009,46%,0.522,0.4
King's Bounty: Armored Princess,PC,11/20/2009,NA,1C Company,Katauri Interactive,King's Bounty,Computer RPG,,,,1,,7/27/2012,,Digital,0,,,,81%,78%,Steam,3,,28.00,,2009,70%,0.795,0.6
Wizardry: Seimei no Kusabi,Nintendo DS,11/19/2009,JP,Genterprise,Genterprise,Wizardry,Turn-Based RPG,,,1,0,,,,,0,,,,,70%,,3,,,,2009,65%,70%,0.6
Resident Evil: The Darkside Chronicles,Nintendo Wii,11/17/2009,NA,Capcom,Capcom,Resident Evil,Rail Shooter,,,,0,,,,,0,,,,75%,77%,,4,,8.50,,2009,78%,0.761,0.8
Left 4 Dead 2,PC,11/17/2009,NA,Valve Corporation,Valve Corporation,Left 4 Dead,First-Person Shooter,,,,1,,7/14/2012, $ 3.74 ,Digital,0,,,,88%,80%,Steam,3,,9.00,,2009,72%,0.84,0.6
LEGO Indiana Jones 2: The Adventure Continues,PC,11/17/2009,NA,LucasArts,Traveller's Tales,LEGO Indiana Jones,Action Adventure,,,,1,,6/27/2019, $ 4.99 ,Digital,0,,,,63%,73%,Steam,3,,10.00,,2009,64%,0.681,0.6
Gratuitous Space Battles,PC,11/17/2009,NA,Positech Games,Positech Games,Gratuitous Space Battles,Strategy,,,,1,,12/13/2011,,Digital,0,,,,76%,66%,Steam,2,,3.00,,2009,56%,0.71,0.4
Pokémon Rumble,WiiWare,11/16/2009,NA,The Pokémon Company,Ambrella,Pokémon,Beat 'em Up,,,,0,,,,,0,,,,66%,76%,,3,,3.00,,2009,65%,0.708,0.6
Art Style: Digidrive,DSiWare,11/16/2009,NA,Nintendo,Q-Games,Art Style,Puzzle,,,,1,,4/15/2022, $ 4.99 ,Digital,0,,,,83%,73%,,2,,,,2009,59%,0.782,0.4
Dark Fall: Lost Souls,PC,11/13/2009,NA,Iceberg Interactive,Darkling Room,Dark Fall,Adventure,,,,1,,9/18/2018, $ 2.59 ,Digital,0,,,,77%,76%,Steam,3,,7.00,,2009,68%,0.764,0.6
Harvest Moon: Animal Parade,Nintendo Wii,11/12/2009,NA,Natsume,Marvelous Interactive,Harvest Moon,Simulation,,,,0,,,,,0,,,,79%,84%,,3,,23.50,,2009,71%,0.817,0.6
Rockman EXE Operation Shooting Star,Nintendo DS,11/12/2009,JP,Capcom,Capcom,Mega Man Star Force,Action RPG,,,2,0,,,,,0,,,,,82%,,3,,12.50,,2009,71%,82%,0.6
Call of Duty: Modern Warfare: Mobilized,Nintendo DS,11/10/2009,NA,Activision,n-Space,Call of Duty,First-Person Shooter,,,,0,,,,,0,,,,75%,73%,,2,,5.00,,2009,57%,0.738,0.4
Call of Duty: Modern Warfare – Reflex Edition,Nintendo Wii,11/10/2009,NA,Activision,Treyarch,Call of Duty,First-Person Shooter,,,,0,,,,,0,,,,79%,83%,,3,,7.00,,2009,71%,0.812,0.6
Call of Duty: Modern Warfare 2,PC,11/10/2009,NA,Activision,Infinity Ward,Call of Duty,First-Person Shooter,,,,1,,4/30/2015, $ 9.99 ,Digital,0,,,,88%,68%,Steam,2,,6.50,,2009,59%,0.782,0.4
Phantasy Star 0,Nintendo DS,11/10/2009,NA,Sega,Sonic Team,Phantasy Star,Turn-Based RPG,,,,0,,,,,0,,,,74%,79%,,3,,13.50,,2009,68%,0.766,0.6
Dragon Ball Z: Attack of the Saiyans,Nintendo DS,11/10/2009,NA,Namco Bandai Games,Monolith Soft,Dragon Ball,Turn-Based RPG,,,,0,,,,,0,,,,73%,80%,,3,,23.50,,2009,68%,0.766,0.6
Kenka Bancho: Badass Rumble,PlayStation Portable,11/10/2009,NA,Atlus,Bullets,Kenka Bancho,Beat 'em Up,,,,0,,,,,0,,,,70%,79%,,2,,6.50,,2009,57%,0.744,0.4
Excitebike: World Rally,WiiWare,11/9/2009,NA,Nintendo,Monster Games,Excite,Racing,,,,0,,,,,0,,,,72%,79%,,2,,0.95,,2009,58%,0.754,0.4
Bomberman Blitz,DSiWare,11/9/2009,NA,Hudson Soft,Hudson Soft,Bomberman,Action,,,,1,,3/5/2023, $ 4.99 ,Digital,0,,,,,75%,,2,,7.50,,2009,58%,75%,0.4
Fetus,PC,11/7/2009,NA,rotten_tater,rotten_tater,Fetus,Side-Scrolling Platformer,,,,0,,,,,0,,,,,,Freeware,2,,,,2009,40%,,0.4
Star Wars: The Force Unleashed,PC,11/6/2009,NA,LucasArts,LucasArts,Star Wars: The Force Unleashed,Action Adventure,,,,1,,12/27/2014, $ 3.46 ,Digital,0,,,,61%,70%,Steam,4,,5.50,,2009,73%,0.654,0.8
Maestro! Jump in Music,Nintendo DS,11/6/2009,EU,Bigben Interactive,Pastagames,,Rhythm,,,,0,,,,,0,,,,,79%,,2,,2.00,,2009,59%,79%,0.4
Summon Night X: Tears Crown,Nintendo DS,11/5/2009,JP,Bandai Namco Games,Flight-Plan,Summon Night,Turn-Based RPG,,,2,0,,,,,0,,,,,83%,,3,,20.50,,2009,72%,83%,0.6
Sakura Note: Ima ni Tsunagaru Mirai,Nintendo DS,11/5/2009,JP,Marvelous Entertainment,Audio Games,,Adventure,,,0,0,,,,,0,,,,,84%,,2,,,,2009,62%,84%,0.4
Numblast,PlayStation 3,11/5/2009,NA,Sony Computer Entertainment,SCE Japan Studio,,Puzzle,,,,0,,,,,0,,,,,60%,,2,,3.00,,2009,50%,60%,0.4
C.O.P. The Recruit,Nintendo DS,11/3/2009,NA,Ubisoft,Velez & Dubail,,Third-Person Shooter,,,,0,,,,,0,,,,55%,64%,,2,,,,2009,50%,0.593,0.4
Dragon Age: Origins,PC,11/3/2009,NA,Electronic Arts,BioWare,Dragon Age,Action RPG,,,,1,,10/13/2012,,Digital,0,,,,91%,86%,Origin,4,,40.50,,2009,84%,0.884,0.8
Jak and Daxter: The Lost Frontier,PlayStation 2,11/3/2009,NA,Sony,High Impact Games,Jak and Daxter,3D Platformer,,,,0,,,,,0,,,,70%,66%,,4,,8.50,,2009,74%,0.678,0.8
Need for Speed: Nitro,Nintendo Wii,11/3/2009,NA,Electronic Arts,EA Montreal,Need for Speed,Racing,,,,0,,,,,0,,,,73%,74%,,2,,8.00,,2009,57%,0.737,0.4
Star Wars Battlefront: Elite Squadron,PlayStation Portable,11/3/2009,NA,LucasArts,Rebellion Developments,Star Wars,Third-Person Shooter,,,,0,,,,,0,,,,63%,76%,,2,,5.00,,2009,55%,0.693,0.4
Ninja Blade,PC,10/31/2009,NA,Microsoft Game Studios,FromSoftware,,Hack-and-Slash,,,,1,,, $ -   ,Digital,0,,,,55%,70%,Green Man Gaming,3,,9.00,,2009,61%,0.625,0.6
LocoRoco: Midnight Carnival,PlayStation Portable,10/29/2009,NA,Sony Computer Entertainment,SCE Japan Studio,LocoRoco,Puzzle Platformer,,,,0,,,,,0,,,,74%,75%,,3,,3.50,,2009,67%,0.743,0.6
Crystal Defenders,PlayStation Portable,10/29/2009,NA,Square Enix,TOSE,Final Fantasy,Tower Defense,,,,0,,,,,0,,,,,69%,,3,,7.00,,2009,65%,69%,0.6
Super Robot Wars NEO,Nintendo Wii,10/29/2009,JP,Namco Bandai Games,Sazanami,Super Robot Wars,Strategy RPG,,,0,0,,,,,0,,,,,83%,,2,,,,2009,61%,83%,0.4
Ratchet & Clank Future: A Crack in Time,PlayStation 3,10/27/2009,NA,Sony Computer Entertainment,Insomniac Games,Ratchet & Clank,3D Platformer,,,,1,Complete,10/21/2018, $ 8.50 ,Physical,0,,,,88%,86%,,4,,10.50,,2009,84%,0.87,0.8
Tekken 6,PlayStation 3,10/27/2009,NA,Namco Bandai Games,Namco Bandai Games,Tekken,Fighting,,,,0,,,,,0,,,,80%,78%,,3,1,8.00,,2009,70%,0.79025,0.6
Atelier Annie: Alchemists of Sera Island,Nintendo DS,10/27/2009,NA,NIS America,Gust,Atelier,Turn-Based RPG,,,,0,,,,,0,,,,74%,75%,,3,,14.00,,2009,67%,0.744,0.6
Doc Louis's Punch-Out!!,WiiWare,10/27/2009,NA,Nintendo,Next Level Games,Punch-Out!!,Sports,,,,0,,,,,0,,,,70%,73%,,3,,1.00,,2009,66%,0.714,0.6
Forza Motorsport 3,Xbox 360,10/27/2009,NA,Microsoft Game Studios,Turn 10 Studios,Forza,Racing,,,,0,,,,,0,,,,92%,83%,,2,1,35.00,,2009,64%,0.875,0.4
Adventures to Go!,PlayStation Portable,10/27/2009,NA,Natsuma,Global A,,Strategy RPG,,,,0,,,,,0,,,,58%,72%,,2,,,,2009,52%,0.649,0.4
Stronghold Legends,PC,10/27/2009,NA,Firefly Studios,Firefly Studios,Stronghold,Real-Time Strategy,,,,1,,3/16/2013, $ -   ,Digital,0,,,,57%,67%,Steam,2,,10.00,,2009,51%,0.619,0.4
Borderlands,PC,10/26/2009,NA,2K Games,Gearbox Software,Borderlands,First-Person Shooter,,,,1,,2/7/2014,,Digital,0,,,,81%,78%,Steam,2,,22.50,,2009,60%,0.794,0.4
SpongeBob's Truth or Square,Xbox 360,10/26/2009,NA,THQ,Heavy Iron Studios,SpongeBob SquarePants,3D Platformer,,,,1,,3/16/2022, $ -   ,Digital,0,,,,,67%,Games with Gold,2,,3.50,,2009,54%,67%,0.4
Nostalgia,Nintendo DS,10/23/2009,NA,Ignition Entertainment,Matrix Software,,Turn-Based RPG,,,,0,,,,,0,,,,72%,75%,,3,,25.50,,2009,67%,0.735,0.6
AI War: Fleet Command,PC,10/21/2009,NA,Arcen Games,Arcen Games,AI War,4X,,,,1,,,,Digital,0,,,,80%,72%,Steam,2,,23.50,,2009,58%,0.758,0.4
Space Invaders Extreme 2,Nintendo DS,10/20/2009,NA,Taito,Project Just,Space Invaders,Shooter,,,,0,,,,,0,,,,83%,82%,,4,,3.50,,2009,81%,0.825,0.8
Tropico 3,PC,10/20/2009,NA,Kalypso Media,Haemimont Games,Tropico,Simulation,,,,1,,9/26/2013, $ -   ,Digital,0,,,,80%,77%,Steam,3,,25.50,,2009,69%,0.783,0.6
MotorStorm: Arctic Edge,PlayStation 2,10/20/2009,NA,Sony Computer Entertainment,Virtuos,MotorStorm,Racing,,,,0,,,,,0,,,,72%,75%,,3,,15.50,,2009,67%,0.733,0.6
Wipeout HD Fury,PlayStation 3,10/16/2009,EU,Sony Computer Entertainment,SCE Studio Liverpool,Wipeout,Racing,,,,1,Complete,4/15/2019, $ 24.99 ,Physical,0,,,,91%,77%,,3,,11.00,,2009,72%,0.84,0.6
Machinarium,PC,10/16/2009,NA,Amanita Design,Amanita Design,,Adventure,,,,1,,12/19/2010,,Digital,0,,,,85%,78%,Steam,3,,5.00,,2009,71%,0.815,0.6
Uncharted 2: Among Thieves,PlayStation 3,10/13/2009,NA,Sony Computer Entertainment,Naughty Dog,Uncharted,Action Adventure,,,,1,Complete,,,Physical,0,,,,96%,89%,,4,,10.50,,2009,86%,0.924,0.8
LEGO Star Wars: The Complete Saga,PC,10/13/2009,NA,Warner Bros. Interactive Entertainment,Traveller's Tales,LEGO Star Wars,Action Adventure,,,,1,,4/29/2015, $ 5.99 ,Digital,0,,,,,79%,Steam,3,,14.00,,2009,70%,79%,0.6
Hero's Saga Laevatein Tactics,Nintendo DS,10/13/2009,NA,Aksys Games,GungHo Works,,Strategy RPG,,,,0,,,,,0,,,,62%,68%,,3,,18.50,,2009,62%,0.649,0.6
Fallout 3: Game of the Year Edition,PC,10/13/2009,NA,Bethesda Softworks,Bethesda Game Studios,Fallout,Action RPG,,,,1,,10/20/2022, $ -   ,Digital,0,,,,,80%,Epic Games Store,2,,27.50,,2009,60%,80%,0.4
Mario & Sonic at the Olympic Winter Games,Nintendo Wii,10/13/2009,NA,Sega,Sonic Team,Mario & Sonic,Sports,,,,0,,,,,0,,,,72%,73%,,2,,9.50,,2009,56%,0.726,0.4
MagnaCarta II,Xbox 360,10/13/2009,NA,Bandai Namco Games,Softmax,Magna Carta,Turn-Based RPG,,,,0,,,,,0,,,,69%,76%,,2,1,39.00,,2009,56%,0.723,0.4
Ju-On: The Grudge,Nintendo Wii,10/13/2009,NA,Xseed Games,feelplus,Ju-On,Survival Horror,,,,0,,,,,0,,,,39%,60%,,2,,3.50,,2009,45%,0.496,0.4
